# Tres corrientes de fase (sintetico). El Gratten GA1102CAL no captura 3P a la vez.
# Plantilla T09. Formulario: Ia 20 A, Ib 12 A, Ic 19 A, desequilibrio max 10 %.
Time,Ia,Ib,Ic
0.009297,6.184196,12.516813,-25.670611
0.009375,5.446799,12.788641,-25.463913
0.009453,4.628852,12.851178,-25.356672
0.009531,4.119811,13.025973,-25.027298
0.009609,3.385891,13.453886,-24.704696
0.009687,2.706703,13.807539,-24.575676
0.009766,2.056604,14.053059,-24.148084
0.009844,1.370306,14.185497,-23.965943
0.009922,0.816847,14.514349,-23.555047
0.010000,0.035365,14.732496,-23.162976
0.010078,-0.802335,14.995913,-22.970500
0.010156,-1.334748,14.946376,-22.670481
0.010234,-1.955298,15.307226,-22.332969
0.010313,-2.902775,15.431433,-21.652911
0.010391,-3.339310,15.551506,-21.557358
0.010469,-4.240419,15.627291,-20.924495
0.010547,-4.771695,15.690673,-20.701366
0.010625,-5.641003,16.066014,-20.157616
0.010703,-6.121537,16.183865,-19.701403
0.010781,-6.860255,16.320358,-19.312643
0.010859,-7.475933,16.343214,-18.814136
0.010937,-8.075648,16.647946,-18.484700
0.011016,-8.984002,16.773616,-18.019873
0.011094,-9.508016,16.851022,-17.419390
0.011172,-10.067439,16.931218,-16.909119
0.011250,-10.895508,16.996462,-16.271886
0.011328,-11.571232,16.783117,-15.649345
0.011406,-12.043915,17.009840,-15.316019
0.011484,-12.686978,16.987727,-14.865042
0.011562,-13.332665,17.130935,-14.306044
0.011641,-13.921235,16.922157,-13.437932
0.011719,-14.596912,16.923942,-13.159267
0.011797,-15.183516,16.939660,-12.436606
0.011875,-15.644776,16.982925,-11.942434
0.011953,-16.299354,16.798462,-11.187040
0.012031,-16.738705,16.924105,-10.638868
0.012109,-17.391924,16.672657,-9.985596
0.012188,-17.958763,16.872617,-9.452751
0.012266,-18.427276,16.644215,-8.777334
0.012344,-18.950045,16.570117,-8.084024
0.012422,-19.379129,16.516536,-7.698408
0.012500,-19.924971,16.329320,-6.935372
0.012578,-20.456147,16.304718,-6.284729
0.012656,-21.028410,16.266963,-5.629206
0.012734,-21.279166,16.177646,-5.037409
0.012812,-21.838700,15.976209,-4.382976
0.012891,-22.204036,15.736919,-3.637329
0.012969,-22.842451,15.592926,-3.145184
0.013047,-23.085788,15.424555,-2.369558
0.013125,-23.445411,15.046291,-1.718268
0.013203,-23.739482,15.006433,-1.088842
0.013281,-24.264886,14.752633,-0.460639
0.013359,-24.552710,14.698954,0.284615
0.013437,-24.953413,14.383650,0.862480
0.013516,-25.295867,14.126475,1.571856
0.013594,-25.332960,13.871068,2.247870
0.013672,-25.816508,13.601775,3.031665
0.013750,-26.122453,13.448529,3.514203
0.013828,-26.331140,13.198046,3.983492
0.013906,-26.573891,13.004949,4.594979
0.013984,-27.002829,12.804639,5.719987
0.014063,-26.808366,12.310209,6.149565
0.014141,-27.404082,12.109837,6.510193
0.014219,-27.452057,11.858718,7.520708
0.014297,-27.555078,11.382179,7.962927
0.014375,-27.746815,11.080639,8.570549
0.014453,-27.972673,10.936956,9.379669
0.014531,-28.043630,10.490710,10.049105
0.014609,-28.216658,10.212147,10.484000
0.014687,-28.239914,9.873582,10.911107
0.014766,-28.167930,9.290227,11.729527
0.014844,-28.364713,9.000314,12.345629
0.014922,-28.151941,8.947282,12.810977
0.015000,-28.195675,8.506119,13.524177
0.015078,-28.316524,8.222244,14.022790
0.015156,-28.380511,7.680360,14.597290
0.015234,-28.135290,7.268089,15.083401
0.015312,-28.127353,6.946734,15.371578
0.015391,-27.979148,6.609184,16.138551
0.015469,-27.964112,6.394106,16.707913
0.015547,-27.821726,5.765361,17.219305
0.015625,-27.823973,5.469877,17.764944
0.015703,-27.506129,4.885708,18.089712
0.015781,-27.355986,4.784139,18.699811
0.015859,-27.267869,4.327457,18.951384
0.015938,-27.175385,3.904657,19.819798
0.016016,-27.122888,3.444971,20.054083
0.016094,-26.664176,3.146368,20.390616
0.016172,-26.484370,2.606844,20.839789
0.016250,-26.017311,2.128850,21.343107
0.016328,-25.720185,1.796568,21.745306
0.016406,-25.440206,1.240185,22.086014
0.016484,-25.245465,0.961665,22.423278
0.016563,-25.016920,0.512701,22.759371
0.016641,-24.718644,0.273760,23.317607
0.016719,-24.155104,-0.329085,23.455499
0.016797,-23.884465,-0.707011,23.860813
0.016875,-23.675797,-1.171155,24.214687
0.016953,-23.148698,-1.606339,24.472004
0.017031,-22.880769,-1.878119,24.646628
0.017109,-22.275525,-2.262949,25.146332
0.017188,-21.868380,-2.855478,25.130797
0.017266,-21.430056,-3.178882,25.394625
0.017344,-20.873365,-3.574113,25.600073
0.017422,-20.324057,-4.180618,25.680271
0.017500,-20.059962,-4.257780,25.994688
0.017578,-19.425658,-4.936066,26.145126
0.017656,-18.998594,-5.103949,26.187445
0.017734,-18.501964,-5.532983,26.295876
0.017812,-17.931196,-6.054311,26.582780
0.017891,-17.286441,-6.360964,26.494256
0.017969,-16.840884,-6.814475,26.536643
0.018047,-16.271523,-7.053035,26.500998
0.018125,-15.697819,-7.550100,26.823495
0.018203,-15.143126,-8.043046,26.929185
0.018281,-14.696513,-8.276780,26.986521
0.018359,-13.970910,-8.754134,26.825547
0.018437,-13.341484,-8.905678,26.921905
0.018516,-12.530618,-9.545133,26.770162
0.018594,-11.945798,-9.656620,26.671845
0.018672,-11.498930,-9.867066,26.403078
0.018750,-10.729897,-10.464006,26.713881
0.018828,-10.259864,-10.478990,26.557688
0.018906,-9.572987,-10.900971,26.582304
0.018984,-8.876033,-11.527328,26.368589
0.019062,-8.279967,-11.645428,26.104998
0.019141,-7.458521,-12.044074,26.158535
0.019219,-7.089371,-12.161907,25.689301
0.019297,-6.317992,-12.584837,25.513376
0.019375,-5.497483,-12.946429,25.490707
0.019453,-4.943724,-12.943572,25.192871
0.019531,-4.337156,-13.200666,24.955527
0.019609,-3.383431,-13.725035,24.833786
0.019688,-2.821316,-13.781108,24.661169
0.019766,-2.057874,-13.870712,24.031289
0.019844,-1.308375,-14.208441,24.080314
0.019922,-0.756245,-14.556234,23.631792
0.020000,-0.123188,-14.917418,23.279686
0.020078,0.871749,-14.753491,22.924110
0.020156,1.345209,-14.992823,22.531824
0.020234,2.227721,-15.452118,22.094833
0.020313,2.849700,-15.399639,21.850950
0.020391,3.362026,-15.494808,21.486772
0.020469,4.160638,-15.865067,20.975442
0.020547,4.617353,-16.115437,20.617711
0.020625,5.434205,-16.000324,20.274981
0.020703,6.208291,-16.280597,19.734933
0.020781,6.961436,-16.163962,19.318373
0.020859,7.497888,-16.309773,18.836332
0.020938,8.308566,-16.450368,18.313045
0.021016,8.816068,-16.635966,17.846602
0.021094,9.425673,-16.768074,17.511314
0.021172,10.342812,-16.679564,16.862812
0.021250,11.021716,-16.864916,16.479215
0.021328,11.365484,-16.788813,15.787907
0.021406,12.163562,-16.875065,15.405460
0.021484,12.667012,-17.140703,14.721614
0.021562,13.322695,-16.845486,14.012912
0.021641,13.919749,-16.839633,13.745481
0.021719,14.442709,-17.149434,13.101745
0.021797,14.911179,-16.880961,12.467913
0.021875,15.825399,-16.909210,11.752337
0.021953,16.163877,-16.824531,11.337861
0.022031,16.706736,-16.679761,10.482983
0.022109,17.468271,-16.879083,9.982070
0.022187,17.898906,-16.785547,9.476852
0.022266,18.425692,-16.731142,8.840186
0.022344,18.932157,-16.616251,8.309268
0.022422,19.572783,-16.520867,7.587894
0.022500,20.132707,-16.531026,6.823061
0.022578,20.645979,-16.222958,6.385229
0.022656,20.855950,-16.308776,5.505733
0.022734,21.442616,-15.974614,5.142991
0.022812,21.769531,-15.957594,4.589349
0.022891,22.449136,-15.872051,3.683205
0.022969,22.623961,-15.582694,3.196454
0.023047,23.153780,-15.475392,2.435280
0.023125,23.553921,-15.153316,1.688131
0.023203,23.896797,-14.927059,1.137967
0.023281,24.130525,-14.778718,0.312662
0.023359,24.648077,-14.667203,-0.267264
0.023438,24.921340,-14.540569,-0.863375
0.023516,25.296869,-14.177293,-1.594057
0.023594,25.518444,-13.996667,-2.223697
0.023672,25.700471,-13.690320,-2.759802
0.023750,25.936896,-13.390750,-3.537666
0.023828,26.273308,-13.132422,-4.257555
0.023906,26.740286,-12.840142,-4.820608
0.023984,26.831764,-12.513106,-5.452968
0.024063,26.978285,-12.445467,-6.109790
0.024141,27.154423,-12.191678,-6.697272
0.024219,27.381418,-11.898448,-7.402971
0.024297,27.651745,-11.430906,-7.943261
0.024375,27.549381,-11.263852,-8.633229
0.024453,27.768496,-10.791496,-9.286245
0.024531,27.908357,-10.333635,-9.839225
0.024609,27.937832,-10.148129,-10.551861
0.024688,28.161280,-9.877868,-10.837169
0.024766,28.063710,-9.562572,-11.860030
0.024844,28.346195,-9.089856,-12.231372
0.024922,28.249404,-8.875854,-12.785589
0.025000,28.274460,-8.506180,-13.488195
0.025078,28.193592,-8.086243,-13.911194
0.025156,28.133115,-7.810491,-14.583373
0.025234,28.204569,-7.443787,-15.099951
0.025313,28.137582,-7.059093,-15.781083
0.025391,28.047968,-6.698359,-16.281313
0.025469,27.897538,-6.194139,-16.735461
0.025547,27.971323,-5.894041,-17.314832
0.025625,27.579334,-5.359839,-17.548427
0.025703,27.649191,-4.943925,-18.169774
0.025781,27.481782,-4.584648,-18.635673
0.025859,27.369491,-4.310832,-19.139692
0.025937,26.930008,-3.902949,-19.686106
0.026016,26.829278,-3.366679,-20.151343
0.026094,26.687167,-3.053098,-20.514955
0.026172,26.468284,-2.358598,-20.817704
0.026250,26.076260,-2.242540,-21.526073
0.026328,25.793052,-1.821014,-21.765698
0.026406,25.597242,-1.298913,-22.251990
0.026484,25.175705,-1.017950,-22.562139
0.026562,24.876927,-0.657558,-22.679821
0.026641,24.638276,-0.209969,-23.188685
0.026719,24.306879,0.438468,-23.610554
0.026797,23.897177,0.642940,-23.692247
0.026875,23.619243,1.186107,-24.143064
0.026953,22.948883,1.501263,-24.419703
0.027031,22.948947,1.794854,-24.472332
0.027109,22.128444,2.232611,-25.010697
0.027187,21.875860,2.622701,-25.049106
0.027266,21.244159,3.066714,-25.436345
0.027344,21.075974,3.566210,-25.676084
0.027422,20.543640,4.035490,-25.596475
0.027500,20.019725,4.411206,-25.854497
0.027578,19.678227,4.814847,-26.341550
0.027656,19.061274,5.041532,-26.319608
0.027734,18.523116,5.669169,-26.319389
0.027813,17.976974,5.928830,-26.563818
0.027891,17.399470,6.447746,-26.655257
0.027969,16.739798,6.847837,-26.737193
0.028047,16.292450,7.197940,-26.906440
0.028125,15.933641,7.484310,-26.756030
0.028203,15.251310,7.957414,-26.884073
0.028281,14.604709,8.244710,-26.849776
0.028359,13.937040,8.609494,-26.872448
0.028438,13.361615,9.052244,-27.075815
0.028516,12.812506,9.280173,-26.832111
0.028594,11.955083,9.681714,-26.722228
0.028672,11.459180,9.739845,-26.903359
0.028750,10.862854,10.458335,-26.650945
0.028828,10.030263,10.704755,-26.647779
0.028906,9.487546,11.099024,-26.429618
0.028984,8.845104,11.311823,-26.453357
0.029063,8.175221,11.475917,-26.073289
0.029141,7.529446,11.907307,-26.019334
0.029219,6.913822,12.199547,-25.799440
0.029297,6.244752,12.462257,-25.826060
0.029375,5.207673,12.756216,-25.448296
0.029453,4.622644,13.202188,-25.045125
0.029531,4.337679,13.337866,-24.931605
0.029609,3.304133,13.484341,-24.696206
0.029687,3.100435,13.644473,-24.450222
0.029766,1.978853,14.031221,-24.344077
0.029844,1.362741,14.322884,-23.837341
0.029922,0.793110,14.445153,-23.520717
0.030000,-0.068504,14.763682,-23.158297
0.030078,-0.717158,14.965880,-22.972644
0.030156,-1.303499,15.056602,-22.620741
0.030234,-2.074446,15.314016,-22.028168
0.030312,-2.923283,15.360597,-21.781126
0.030391,-3.559504,15.653733,-21.447329
0.030469,-4.075966,15.925247,-20.907163
0.030547,-4.847333,16.057968,-20.767926
0.030625,-5.578349,16.140585,-20.040417
0.030703,-6.277657,16.143444,-19.627537
0.030781,-6.914588,16.116827,-19.077143
0.030859,-7.659118,16.562227,-18.935601
0.030937,-8.235762,16.582336,-18.500695
0.031016,-8.897506,16.594635,-17.838579
0.031094,-9.641721,16.698661,-17.337278
0.031172,-10.103693,16.733449,-17.006626
0.031250,-10.866974,16.826209,-16.570224
0.031328,-11.468101,16.964031,-15.764636
0.031406,-12.320448,16.750889,-15.347080
0.031484,-12.858628,16.976813,-14.797841
0.031563,-13.313674,16.938204,-14.088179
0.031641,-13.807249,17.050063,-13.657268
0.031719,-14.556991,16.957055,-13.198214
0.031797,-15.192990,16.981108,-12.632546
0.031875,-15.655221,16.967435,-12.018708
0.031953,-16.421996,16.954710,-11.358837
0.032031,-16.812924,16.710692,-10.681623
0.032109,-17.570127,16.749038,-10.091566
0.032188,-17.970919,16.712184,-9.487567
0.032266,-18.439891,16.742750,-8.894988
0.032344,-19.048777,16.715205,-8.251931
0.032422,-19.529014,16.324074,-7.501646
0.032500,-20.051482,16.487240,-6.851929
0.032578,-20.493038,16.178546,-6.371931
0.032656,-20.927447,16.152245,-5.642168
0.032734,-21.576836,16.158162,-4.912297
0.032813,-21.818095,15.967930,-4.304484
0.032891,-22.269838,15.934105,-3.633632
0.032969,-22.630153,15.611781,-3.093340
0.033047,-23.085523,15.278776,-2.181920
0.033125,-23.597627,15.363487,-1.748999
0.033203,-23.842218,15.192245,-1.103807
0.033281,-24.390268,14.968633,-0.429372
0.033359,-24.780348,14.677455,0.350077
0.033438,-25.066430,14.364656,0.816348
0.033516,-25.240985,14.290721,1.632738
0.033594,-25.500393,14.013757,2.134940
0.033672,-25.883597,13.619595,2.797896
0.033750,-26.002861,13.534164,3.444696
0.033828,-26.453442,13.166159,4.203992
0.033906,-26.593540,12.981770,4.866333
0.033984,-26.894769,12.810382,5.415126
0.034063,-27.197922,12.409635,6.175449
0.034141,-27.330501,11.971928,6.952351
0.034219,-27.445352,11.724697,7.375631
0.034297,-27.291266,11.538413,7.977090
0.034375,-27.850886,11.206662,8.736667
0.034453,-27.896051,10.682532,9.518127
0.034531,-27.885995,10.348905,9.883273
0.034609,-28.111448,10.265689,10.456758
0.034688,-28.168157,10.049698,11.132963
0.034766,-28.303454,9.411267,11.815401
0.034844,-28.328241,9.080268,12.275125
0.034922,-28.336483,8.830530,12.874810
0.035000,-28.246648,8.371764,13.437948
0.035078,-28.266747,8.147164,13.971327
0.035156,-28.212974,7.780265,14.600401
0.035234,-28.286110,7.360969,15.068867
0.035312,-28.066852,6.929006,15.729856
0.035391,-28.147659,6.846811,16.117379
0.035469,-27.994982,6.182826,16.610905
0.035547,-27.817050,5.681542,17.176964
0.035625,-27.812614,5.445373,17.806651
0.035703,-27.585265,5.201112,18.162129
0.035781,-27.387244,4.448513,18.741607
0.035859,-27.312076,4.438842,19.173741
0.035937,-27.143716,3.846170,19.573225
0.036016,-26.843842,3.592674,20.081545
0.036094,-26.502122,3.003583,20.567407
0.036172,-26.472680,2.643177,21.070160
0.036250,-26.169199,2.173668,21.391532
0.036328,-25.732562,1.935691,21.740863
0.036406,-25.539165,1.402234,22.143643
0.036484,-25.179095,1.084322,22.378953
0.036562,-24.856944,0.662496,22.906793
0.036641,-24.445452,0.225496,22.922475
0.036719,-24.148537,-0.336631,23.488709
0.036797,-23.860873,-0.851301,23.846101
0.036875,-23.634717,-1.017245,24.215531
0.036953,-23.273105,-1.490054,24.426259
0.037031,-22.673484,-2.086262,24.769984
0.037109,-22.189798,-2.479270,24.809163
0.037187,-21.910319,-2.801157,25.325874
0.037266,-21.310899,-3.205064,25.287903
0.037344,-21.019451,-3.740497,25.546941
0.037422,-20.460665,-3.767134,25.840016
0.037500,-20.025022,-4.450222,25.950005
0.037578,-19.382563,-4.913909,26.178679
0.037656,-18.910832,-5.357845,26.163926
0.037734,-18.551464,-5.614642,26.480385
0.037812,-17.997003,-6.093546,26.576920
0.037891,-17.469967,-6.483784,26.632489
0.037969,-16.855583,-6.685333,26.497845
0.038047,-16.281561,-7.256826,26.587551
0.038125,-15.654844,-7.480630,26.799323
0.038203,-15.156251,-7.812449,26.698517
0.038281,-14.429548,-8.027279,26.864941
0.038359,-13.991187,-8.585607,26.774557
0.038437,-13.234331,-9.173128,26.948441
0.038516,-12.770469,-9.233451,26.691723
0.038594,-11.946407,-9.687608,26.631179
0.038672,-11.242194,-10.037574,26.749364
0.038750,-10.942603,-10.337794,26.594785
0.038828,-10.171953,-10.745505,26.260219
0.038906,-9.579840,-10.900683,26.453015
0.038984,-8.844921,-11.232861,26.286606
0.039062,-8.149257,-11.749913,26.296870
0.039141,-7.531957,-12.115999,25.884853
0.039219,-7.014196,-12.418144,25.795181
0.039297,-6.278921,-12.400333,25.839149
0.039375,-5.419959,-12.755938,25.440536
0.039453,-4.803532,-12.925406,25.109631
0.039531,-4.132199,-13.195877,25.071916
0.039609,-3.653125,-13.460637,24.577732
0.039688,-2.741105,-13.775713,24.624887
0.039766,-2.089798,-13.927278,24.420638
0.039844,-1.572408,-14.241776,23.867910
0.039922,-0.846592,-14.413819,23.231321
